timestamp,temperature,humidity,light_received,hour_of_day,temp_lag_1,hum_lag_1,light_lag_1,temp_target
1970-01-01 00:29:02.843,21.0,43,2349,0,21.0,43.0,2441.0,21.0
1970-01-01 00:29:14.110,21.0,43,2398,0,21.0,43.0,2349.0,21.0
1970-01-01 00:29:36.641,21.0,43,2367,0,21.0,43.0,2398.0,21.0
1970-01-01 00:29:47.870,21.0,43,2384,0,21.0,43.0,2367.0,21.0
1970-01-01 00:29:59.096,21.0,43,2514,0,21.0,43.0,2384.0,21.0
1970-01-01 00:30:21.553,21.0,43,2434,0,21.0,43.0,2514.0,21.0
1970-01-01 00:30:44.244,21.0,42,2494,0,21.0,43.0,2434.0,21.0
1970-01-01 00:30:55.508,21.0,42,2559,0,21.0,42.0,2494.0,21.0
1970-01-01 00:31:06.767,21.0,42,2480,0,21.0,42.0,2559.0,21.0
1970-01-01 00:31:18.077,21.0,42,3313,0,21.0,42.0,2480.0,21.0
1970-01-01 00:31:29.334,21.0,42,2967,0,21.0,42.0,3313.0,21.0
1970-01-01 00:31:40.608,21.0,42,2020,0,21.0,42.0,2967.0,21.0
1970-01-01 00:31:51.900,21.0,42,1868,0,21.0,42.0,2020.0,21.0
1970-01-01 00:32:03.130,21.0,42,1481,0,21.0,42.0,1868.0,21.0
1970-01-01 00:32:15.030,21.0,42,1340,0,21.0,42.0,1481.0,21.0
1970-01-01 00:32:26.272,21.0,42,1009,0,21.0,42.0,1340.0,21.0
1970-01-01 00:32:37.502,21.0,42,784,0,21.0,42.0,1009.0,21.0
1970-01-01 00:32:48.763,21.0,42,814,0,21.0,42.0,784.0,21.0
1970-01-01 00:33:00.041,21.0,42,701,0,21.0,42.0,814.0,24.1
