timestamp,temperature,humidity,light_received
1167357,21.0,43,2663
1168151,23.0,49,1023
1168993,23.0,51,1023
1169583,23.8,48,1023
1176637,22.2,49,1023
1177959,24.5,45,0
1178588,21.0,43,2559
1180147,23.0,49,1023
1183051,23.8,48,1023
1188619,22.2,49,1023
1189764,23.0,51,1023
1189810,21.0,43,2544
1191941,24.5,45,0
1192166,23.0,49,1023
1195719,23.8,48,1023
1200629,22.2,49,1023
1201135,21.0,43,2544
1204176,23.0,49,1023
1204838,24.5,45,0
1208675,23.8,48,1023
1211525,23.0,52,1023
1212381,21.0,43,2512
1212621,22.2,49,1023
1216192,23.0,49,1023
1218121,24.5,45,0
1222521,23.8,47,1023
1223767,21.0,43,2448
1224630,22.2,49,1023
1228229,23.0,48,1023
1231038,24.5,45,0
1231966,23.0,51,1023
1234996,21.0,43,2429
1235175,23.8,48,1023
1236634,22.2,49,1023
1240270,23.0,48,1023
1244070,24.5,45,0
1246210,21.0,43,2439
1248087,23.8,48,1023
1248640,22.2,49,1023
1252282,23.0,49,1023
1252698,23.0,51,0
1257063,24.5,45,0
1257450,21.0,43,2526
1260638,22.2,49,1023
1260661,23.8,48,1023
1264303,23.0,49,1023
1268668,21.0,43,2497
1270776,24.5,45,0
1272620,22.2,49,1023
1273242,23.8,48,1023
1273777,23.0,51,0
1277053,23.0,48,1023
1279874,21.0,43,2448
1283582,24.5,46,0
1284614,22.2,49,1023
1285977,23.8,48,0
1289146,23.0,49,1023
1291107,21.0,43,2418
1294614,23.0,51,0
1296379,24.5,45,0
1296613,22.2,49,1023
1298842,23.8,48,0
1301193,23.0,49,1023
1302349,21.0,43,2530
1308623,22.2,49,1023
1309304,24.5,45,0
1311706,23.8,48,0
1313201,23.0,48,1023
1313593,21.0,43,2531
1315347,23.0,50,0
1320633,22.2,49,1023
1323779,24.5,46,0
1324653,23.8,48,0
1324817,21.0,43,2429
1325213,23.0,48,1023
1332625,22.2,49,1023
1336064,21.0,43,2587
1336329,23.0,51,0
1336992,24.5,45,0
1337237,23.0,49,1023
